Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Jamie Gillan punts 29 yards out of bounds,Jamie Gillan,29.0,,,,,,,,,out of bounds,yards
Sam Koch punts 39 yards out of bounds,Sam Koch,39.0,,,,,,,,,out of bounds,yards
Dustin Colquitt punts 28 yards downed by Armani Watts,Dustin Colquitt,28.0,,,,,Armani Watts,,,,,yards
Kevin Huber punts 47 yards returned by Dontrell Hilliard for 6 yards (tackle by LaRoy Reynolds),Kevin Huber,47.0,Dontrell Hilliard,6.0,LaRoy Reynolds,,,,,,,yards  yards (
Jake Bailey punts 56 yards returned by Mecole Hardman for 4 yards (tackle by Matthew Slater). Penalty on Demarcus Robinson: Illegal Block Above the Waist (Declined) . Penalty on Armani Watts: Illegal Block Above the Waist 13 yards,Jake Bailey,56.0,Mecole Hardman,4.0,Matthew Slater,Demarcus Robinson,,,,,,yards  yards (.  Illegal Block Above the Waist (Declined) . Penalty on Armani Watts: Illegal Block Above the Waist 13 yards
Jordan Berry punts 69 yards returned by Pharoh Cooper for 29 yards (tackle by Robert Spillane),Jordan Berry,69.0,Pharoh Cooper,29.0,Robert Spillane,,,,,,,yards  yards (
Jamie Gillan punts 54 yards returned by Darius Phillips for no gain (tackle by Dontrell Hilliard and Adarius Taylor). Penalty on Stanley Morgan: Face Mask (15 Yards) 15 yards,Jamie Gillan,54.0,Darius Phillips,0.0,Dontrell Hilliard and Adarius Taylor,Stanley Morgan,,,,,,yards  (.  Face Mask (15 Yards) 15 yards
Chase Edmonds left end for 9 yards (tackle by Kameron Kelly),,,,,Kameron Kelly,,,,,,,Chase Edmonds left end for 9 yards (
A.J. Cole punts 37 yards downed by Erik Harris,A.J. Cole,37.0,,,,,Erik Harris,,,,,yards
Tress Way punts 44 yards returned by Tyler Ervin for 11 yards (tackle by Jeremy Reaves),Tress Way,44.0,Tyler Ervin,11.0,Jeremy Reaves,,,,,,,yards  yards (
Brett Kern punts 55 yards returned by Jalen Richard for 12 yards (tackle by David Long),Brett Kern,55.0,Jalen Richard,12.0,David Long,,,,,,,yards  yards (
JK Scott punts 44 yards touchback.,JK Scott,44.0,,,,,,,,,touchback,yards .
A.J. Cole punts 40 yards fair catch by Kalif Raymond at TEN-11,A.J. Cole,40.0,Kalif Raymond,,,,,,,TEN-11,,yards
Penalty on Ameer Abdullah: False Start 5 yards (no play),,,,,,Ameer Abdullah,,,,,,False Start 5 yards (no play)
Rigoberto Sanchez punts 36 yards fair catch by Justin Watson at TB-13. Penalty on Anthony Walker: Offensive Holding 10 yards,Rigoberto Sanchez,36.0,Justin Watson,,,,,,,TB-13. Penalty on Anthony Walker: Offensive Holding 10 yards,,yards
Britton Colquitt punts 55 yards returned by Danny Amendola for 3 yards (tackle by Kris Boyd),Britton Colquitt,55.0,Danny Amendola,3.0,Kris Boyd,,,,,,,yards  yards (
Michael Dickson punts 45 yards fair catch by Nsimba Webster at LA-48,Michael Dickson,45.0,Nsimba Webster,,,,,,,LA-48,,yards
Mitch Wishnowsky punts 49 yards fair catch by Deonte Harris at NO-20,Mitch Wishnowsky,49.0,Deonte Harris,,,,,,,NO-20,,yards
Sam Martin punts 42 yards downed by Mike Ford,Sam Martin,42.0,,,,,Mike Ford,,,,,yards
Bradley Pinion punts 46 yards returned by Nyheim Hines for 15 yards (tackle by Pat O'Connor),Bradley Pinion,46.0,Nyheim Hines,15.0,Pat O'Connor,,,,,,,yards  yards (
Michael Palardy punts 35 yards out of bounds. Penalty on Kenjon Barner: Illegal Bat 4 yards,Michael Palardy,35.0,,,,Kenjon Barner,,,,4 yards,out of bounds,yards .  Illegal B
Sam Koch punts 42 yards fair catch by Andre Roberts at BUF-12,Sam Koch,42.0,Andre Roberts,,,,,,,BUF-12,,yards
A.J. Cole punts 47 yards fair catch by Kalif Raymond at TEN-16,A.J. Cole,47.0,Kalif Raymond,,,,,,,TEN-16,,yards
Britton Colquitt punts 46 yards fair catch by Danny Amendola at DET-19,Britton Colquitt,46.0,Danny Amendola,,,,,,,DET-19,,yards
Michael Dickson punts 34 yards fair catch by Nsimba Webster at LA-18,Michael Dickson,34.0,Nsimba Webster,,,,,,,LA-18,,yards
Corey Bojorquez punts 52 yards downed by Siran Neal,Corey Bojorquez,52.0,,,,,Siran Neal,,,,,yards
Johnny Hekker punts 48 yards returned by David Moore for 3 yards (tackle by Travin Howard),Johnny Hekker,48.0,David Moore,3.0,Travin Howard,,,,,,,yards  yards (
Jake Bailey punts 44 yards returned by Mecole Hardman for 7 yards (tackle by Matthew Slater and Rex Burkhead),Jake Bailey,44.0,Mecole Hardman,7.0,Matthew Slater and Rex Burkhead,,,,,,,yards  yards (
Sam Martin punts 55 yards returned by Mike Hughes for 11 yards (tackle by Logan Thomas and Steve Longa),Sam Martin,55.0,Mike Hughes,11.0,Logan Thomas and Steve Longa,,,,,,,yards  yards (
JK Scott punts 40 yards returned by Steven Sims for 6 yards (tackle by Will Redmond and Ibraheim Campbell),JK Scott,40.0,Steven Sims,6.0,Will Redmond and Ibraheim Campbell,,,,,,,yards  yards (
Sam Koch punts 54 yards touchback.,Sam Koch,54.0,,,,,,,,,touchback,yards .
Matt Haack punts 45 yards returned by Braxton Berrios for 12 yards (tackle by Vince Biegel),Matt Haack,45.0,Braxton Berrios,12.0,Vince Biegel,,,,,,,yards  yards (
Mitch Wishnowsky punts 48 yards returned by Deonte Harris for 6 yards (tackle by Elijah Lee). Penalty on Marcell Harris: Offensive Holding 10 yards (no play),Mitch Wishnowsky,48.0,Deonte Harris,6.0,Elijah Lee,Marcell Harris,,,,,,yards  yards (.  Offensive Holding 10 yards (no play)
Michael Dickson punts 52 yards returned by Nsimba Webster for no gain (tackle by Travis Homer). Penalty on Jalen Ramsey: Offensive Holding 5 yards,Michael Dickson,52.0,Nsimba Webster,0.0,Travis Homer,Jalen Ramsey,,,,,,yards  (.  Offensive Holding 5 yards
Dustin Colquitt punts blocked by Nate Ebner,,,,,,,,,,,,Dustin Colquitt punts blocked by Nate Ebner
Britton Colquitt punts 32 yards fair catch by Danny Amendola at DET-23,Britton Colquitt,32.0,Danny Amendola,,,,,,,DET-23,,yards
Corey Bojorquez punts 43 yards downed by Senorise Perry,Corey Bojorquez,43.0,,,,,Senorise Perry,,,,,yards
Lac Edwards punts 44 yards touchback.,Lac Edwards,44.0,,,,,,,,,touchback,yards .
Mitch Wishnowsky punts 45 yards returned by Deonte Harris for 12 yards (tackle by Mark Nzeocha),Mitch Wishnowsky,45.0,Deonte Harris,12.0,Mark Nzeocha,,,,,,,yards  yards (
Tress Way punts 39 yards fair catch by Tyler Ervin at GB-11,Tress Way,39.0,Tyler Ervin,,,,,,,GB-11,,yards
Michael Palardy punts 44 yards returned by Kenjon Barner for 5 yards (tackle by DeAndrew White),Michael Palardy,44.0,Kenjon Barner,5.0,DeAndrew White,,,,,,,yards  yards (
Sam Koch punts 37 yards fair catch by Andre Roberts at BUF-22,Sam Koch,37.0,Andre Roberts,,,,,,,BUF-22,,yards
Rigoberto Sanchez punts 47 yards fair catch by Justin Watson at TB-19,Rigoberto Sanchez,47.0,Justin Watson,,,,,,,TB-19,,yards
Jordan Berry up the middle for -8 yards (tackle by Darrell Daniels and Dennis Gardeck). Jordan Berry fumbles (forced by Darrell Daniels) recovered by Dennis Gardeck at PIT-32,,,,,Darrell Daniels and Dennis Gardeck,,,,,PIT-32,,Jordan Berry up the middle for -8 yards (. Jordan Berry fumbles (forced by Darrell Daniels) recovered by Dennis Gardeck
Ryan Allen punts 50 yards returned by Greg Dortch for 10 yards (tackle by Foyesade Oluokun and Qadree Ollison),Ryan Allen,50.0,Greg Dortch,10.0,Foyesade Oluokun and Qadree Ollison,,,,,,,yards  yards (
A.J. Cole punts 55 yards touchback.,A.J. Cole,55.0,,,,,,,,,touchback,yards .
Corey Bojorquez punts 29 yards out of bounds,Corey Bojorquez,29.0,,,,,,,,,out of bounds,yards
Logan Cooke punts 51 yards fair catch by Desmond King at LAC-24,Logan Cooke,51.0,Desmond King,,,,,,,LAC-24,,yards
Colby Wadman punts 39 yards fair catch by DeAndre Carter at 50,Colby Wadman,39.0,DeAndre Carter,,,,,,,50,,yards
Brett Kern punts 47 yards fair catch by Jalen Richard at OAK-28,Brett Kern,47.0,Jalen Richard,,,,,,,OAK-28,,yards
Lac Edwards punts 45 yards muffed catch by Marcus Sherels recovered by Marcus Sherels at MIA-28 returned by Marcus Sherels for 7 yards (tackle by Daniel Brown),Lac Edwards,45.0,Marcus Sherels,7.0,Daniel Brown,,,,,MIA-28  yards (,,yards muffed catch by Marcus Sherels recovered by Marcus Sherels
Ty Long punts 55 yards returned by Michael Walker for 5 yards (tackle by Cole Mazza). Penalty on Charles Jones: Illegal Block Above the Waist 10 yards,Ty Long,55.0,Michael Walker,5.0,Cole Mazza,Charles Jones,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
Sam Martin punts 44 yards fair catch by Olabisi Johnson at MIN-8,Sam Martin,44.0,Olabisi Johnson,,,,,,,MIN-8,,yards
Penalty on DEN: Delay of Game 5 yards (no play),,,,,,DEN,,,,,,Delay of Game 5 yards (no play)
Colby Wadman punts 47 yards returned by DeAndre Carter for 8 yards (tackle by Troy Fumagalli),Colby Wadman,47.0,DeAndre Carter,8.0,Troy Fumagalli,,,,,,,yards  yards (
Britton Colquitt punts 33 yards returned by Danny Amendola for 8 yards (tackle by Eric Wilson),Britton Colquitt,33.0,Danny Amendola,8.0,Eric Wilson,,,,,,,yards  yards (
Johnny Hekker punts 55 yards muffed catch by David Moore recovered by David Moore at SEA-18,Johnny Hekker,55.0,,,,,,,,SEA-18,,yards muffed catch by David Moore recovered by David Moore
Dustin Colquitt punts 57 yards downed by Demarcus Robinson,Dustin Colquitt,57.0,,,,,Demarcus Robinson,,,,,yards
Sam Koch punts 47 yards returned by Andre Roberts for 7 yards (tackle by Chuck Clark and Jordan Richards),Sam Koch,47.0,Andre Roberts,7.0,Chuck Clark and Jordan Richards,,,,,,,yards  yards (
Jake Bailey punts 32 yards out of bounds,Jake Bailey,32.0,,,,,,,,,out of bounds,yards
Dustin Colquitt punts 46 yards fair catch by Mohamed Sanu at NE-32,Dustin Colquitt,46.0,Mohamed Sanu,,,,,,,NE-32,,yards
Chris Jones punts 45 yards downed by C.J. Goodwin,Chris Jones,45.0,,,,,C.J. Goodwin,,,,,yards
Chris Jones punts 41 yards returned by Tarik Cohen for 13 yards (tackle by Joe Thomas),Chris Jones,41.0,Tarik Cohen,13.0,Joe Thomas,,,,,,,yards  yards (
Chris Jones punts 48 yards muffed catch by Tarik Cohen recovered by Tarik Cohen at CHI-24 returned by Tarik Cohen for 9 yards (tackle by Darian Thompson),Chris Jones,48.0,Tarik Cohen,9.0,Darian Thompson,,,,,CHI-24  yards (,,yards muffed catch by Tarik Cohen recovered by Tarik Cohen
Pat O'Donnell punts 49 yards fair catch by Tavon Austin at DAL-16,Pat O'Donnell,49.0,Tavon Austin,,,,,,,DAL-16,,yards
Chris Jones punts 49 yards returned by Tarik Cohen for 11 yards (tackle by Ventell Bryant),Chris Jones,49.0,Tarik Cohen,11.0,Ventell Bryant,,,,,,,yards  yards (
Chris Jones punts 41 yards muffed catch by Tarik Cohen,Chris Jones,41.0,,,,,,,,,,yards muffed catch by Tarik Cohen
Pat O'Donnell punts 43 yards fair catch by Randall Cobb at DAL-7,Pat O'Donnell,43.0,Randall Cobb,,,,,,,DAL-7,,yards
Pat O'Donnell punts 34 yards fair catch by Randall Cobb at DAL-15,Pat O'Donnell,34.0,Randall Cobb,,,,,,,DAL-15,,yards
Pat O'Donnell punts 36 yards downed by Josh Woods,Pat O'Donnell,36.0,,,,,Josh Woods,,,,,yards
Colby Wadman punts 54 yards returned by Hunter Renfrow for 5 yards (tackle by Fred Brown),Colby Wadman,54.0,Hunter Renfrow,5.0,Fred Brown,,,,,,,yards  yards (
Michael Dickson punts 54 yards returned by Richie James for 6 yards (tackle by Marquise Blair),Michael Dickson,54.0,Richie James,6.0,Marquise Blair,,,,,,,yards  yards (
Chris Jones punts 44 yards fair catch by Steven Sims at WAS-29,Chris Jones,44.0,Steven Sims,,,,,,,WAS-29,,yards
Sam Martin punts 44 yards touchback.,Sam Martin,44.0,,,,,,,,,touchback,yards .
Ty Long punts 44 yards returned by Mecole Hardman for 6 yards (tackle by Rayshawn Jenkins and Nick Dzubnar),Ty Long,44.0,Mecole Hardman,6.0,Rayshawn Jenkins and Nick Dzubnar,,,,,,,yards  yards (
JK Scott punts 51 yards fair catch by Jamal Agnew at DET-27,JK Scott,51.0,Jamal Agnew,,,,,,,DET-27,,yards
Jake Bailey punts 39 yards muffed catch by Trevor Davis recovered by Trevor Davis at MIA-11 (tackle by Samaje Perine),Jake Bailey,39.0,,,Samaje Perine,,,,,MIA-11 (,,yards muffed catch by Trevor Davis recovered by Trevor Davis
Michael Palardy punts 62 yards out of bounds,Michael Palardy,62.0,,,,,,,,,out of bounds,yards
Jordan Berry punts 39 yards out of bounds,Jordan Berry,39.0,,,,,,,,,out of bounds,yards
Jamie Gillan punts 62 yards returned by Alex Erickson for 1 yard (tackle by Tae Davis),Jamie Gillan,62.0,Alex Erickson,1.0,Tae Davis,,,,,,,yards  yard (
Thomas Morstead punts 38 yards downed by Dwayne Washington,Thomas Morstead,38.0,,,,,Dwayne Washington,,,,,yards
Corey Bojorquez punts 36 yards fair catch by Braxton Berrios at NYJ-23,Corey Bojorquez,36.0,Braxton Berrios,,,,,,,NYJ-23,,yards
Andy Lee punts 44 yards fair catch by Nsimba Webster at LA-14,Andy Lee,44.0,Nsimba Webster,,,,,,,LA-14,,yards
Riley Dixon punts 32 yards fair catch by Greg Ward at PHI-18,Riley Dixon,32.0,Greg Ward,,,,,,,PHI-18,,yards
Michael Palardy punts 32 yards fair catch by Deonte Harris at NO-19,Michael Palardy,32.0,Deonte Harris,,,,,,,NO-19,,yards
Nick Scott left end for 6 yards (tackle by Dennis Gardeck and Kylie Fitts),,,,,Dennis Gardeck and Kylie Fitts,,,,,,,Nick Scott left end for 6 yards (
Kevin Huber punts 60 yards touchback.,Kevin Huber,60.0,,,,,,,,,touchback,yards .
Lac Edwards punts 43 yards returned by Isaiah McKenzie for 4 yards (tackle by Frankie Luvu),Lac Edwards,43.0,Isaiah McKenzie,4.0,Frankie Luvu,,,,,,,yards  yards (
Michael Dickson punts 50 yards downed by Ugochukwu Amadi,Michael Dickson,50.0,,,,,Ugochukwu Amadi,,,,,yards
Colby Wadman punts 49 yards fair catch by Hunter Renfrow at OAK-7,Colby Wadman,49.0,Hunter Renfrow,,,,,,,OAK-7,,yards
Bryan Anger punts 46 yards fair catch by Rashard Davis at TEN-10,Bryan Anger,46.0,Rashard Davis,,,,,,,TEN-10,,yards
Ryan Allen punts 44 yards fair catch by Jaydon Mickens at TB-15. Penalty on Noah Dawkins: Unnecessary Roughness 7 yards,Ryan Allen,44.0,Jaydon Mickens,,,,,,,TB-15. Penalty on Noah Dawkins: Unnecessary Roughness 7 yards,,yards
Corey Bojorquez punts 51 yards returned by Braxton Berrios for 9 yards (tackle by Robert Foster),Corey Bojorquez,51.0,Braxton Berrios,9.0,Robert Foster,,,,,,,yards  yards (
Johnny Hekker punts 36 yards fair catch by Pharoh Cooper at ARI-9,Johnny Hekker,36.0,Pharoh Cooper,,,,,,,ARI-9,,yards
Bradley Pinion punts 30 yards downed by Sam Acho,Bradley Pinion,30.0,,,,,Sam Acho,,,,,yards
Riley Dixon punts 49 yards returned by Greg Ward for 6 yards (tackle by Michael Thomas). Penalty on T.J. Edwards: Illegal Block Above the Waist 10 yards,Riley Dixon,49.0,Greg Ward,6.0,Michael Thomas,T.J. Edwards,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
Andy Lee punts 54 yards returned by Nsimba Webster for 14 yards (tackle by Dennis Gardeck),Andy Lee,54.0,Nsimba Webster,14.0,Dennis Gardeck,,,,,,,yards  yards (
JK Scott punts 33 yards downed by Ka'dar Hollman,JK Scott,33.0,,,,,Ka'dar Hollman,,,,,yards
Jake Bailey punts 47 yards downed by Justin Bethel,Jake Bailey,47.0,,,,,Justin Bethel,,,,,yards
Cameron Johnston punts 41 yards returned by Da'Mari Scott for -3 yards (tackle by Malcolm Jenkins),Cameron Johnston,41.0,Da'Mari Scott,-3.0,Malcolm Jenkins,,,,,,,yards  yards (
Jamie Gillan punts 38 yards out of bounds,Jamie Gillan,38.0,,,,,,,,,out of bounds,yards
Sam Martin punts 48 yards fair catch by Tyler Ervin at GB-37,Sam Martin,48.0,Tyler Ervin,,,,,,,GB-37,,yards
Michael Palardy punts 59 yards returned by Deonte Harris for 4 yards (tackle by Jordan Kunaszyk),Michael Palardy,59.0,Deonte Harris,4.0,Jordan Kunaszyk,,,,,,,yards  yards (
Corey Bojorquez punts 36 yards fair catch by Braxton Berrios at NYJ-17,Corey Bojorquez,36.0,Braxton Berrios,,,,,,,NYJ-17,,yards
Matt Haack punts 44 yards returned by Mohamed Sanu for 7 yards (tackle by Walt Aikens),Matt Haack,44.0,Mohamed Sanu,7.0,Walt Aikens,,,,,,,yards  yards (
Riley Dixon punts 61 yards downed by Cody Core. Penalty on Michael Thomas: Offensive Holding 10 yards (no play),Riley Dixon,61.0,,,,Michael Thomas,Cody Core.  Offensive Holding 10 yards (no play),,,,,yards
Michael Dickson punts 46 yards returned by Richie James for no gain (tackle by Nick Bellore). Penalty on D.J. Reed: Offensive Holding 10 yards,Michael Dickson,46.0,Richie James,0.0,Nick Bellore,D.J. Reed,,,,,,yards  (.  Offensive Holding 10 yards
Thomas Morstead punts 46 yards fair catch by Chris Hogan at CAR-39,Thomas Morstead,46.0,Chris Hogan,,,,,,,CAR-39,,yards
Riley Dixon punts 53 yards fair catch by Greg Ward at PHI-19,Riley Dixon,53.0,Greg Ward,,,,,,,PHI-19,,yards
Sam Koch punts 44 yards returned by Diontae Johnson for 11 yards (tackle by Brynden Trawick),Sam Koch,44.0,Diontae Johnson,11.0,Brynden Trawick,,,,,,,yards  yards (
JK Scott punts 44 yards downed by Josh Jackson,JK Scott,44.0,,,,,Josh Jackson,,,,,yards
Pat O'Donnell punts 57 yards downed by Deon Bush,Pat O'Donnell,57.0,,,,,Deon Bush,,,,,yards
Bryan Anger punts 58 yards returned by Rashard Davis for 10 yards (tackle by Taiwan Jones and A.J. Moore),Bryan Anger,58.0,Rashard Davis,10.0,Taiwan Jones and A.J. Moore,,,,,,,yards  yards (
Rigoberto Sanchez punts 41 yards fair catch by Dede Westbrook at JAC-10,Rigoberto Sanchez,41.0,Dede Westbrook,,,,,,,JAC-10,,yards
Thomas Morstead punts 57 yards out of bounds,Thomas Morstead,57.0,,,,,,,,,out of bounds,yards
Cameron Johnston punts 43 yards downed by Sidney Jones,Cameron Johnston,43.0,,,,,Sidney Jones,,,,,yards
Andy Lee punts 53 yards returned by Nsimba Webster for 4 yards (tackle by Dennis Gardeck),Andy Lee,53.0,Nsimba Webster,4.0,Dennis Gardeck,,,,,,,yards  yards (
Dustin Colquitt punts 40 yards touchback.,Dustin Colquitt,40.0,,,,,,,,,touchback,yards .
Sam Martin punts 46 yards fair catch by Tyler Ervin at GB-34,Sam Martin,46.0,Tyler Ervin,,,,,,,GB-34,,yards
Jordan Berry punts 53 yards touchback.,Jordan Berry,53.0,,,,,,,,,touchback,yards .
Riley Dixon punts 41 yards returned by Greg Ward for -3 yards (tackle by Da'Mari Scott),Riley Dixon,41.0,Greg Ward,-3.0,Da'Mari Scott,,,,,,,yards  yards (
Brett Kern punts 36 yards fair catch by DeAndre Carter at HOU-13,Brett Kern,36.0,DeAndre Carter,,,,,,,HOU-13,,yards
Ty Long punts 43 yards returned by Mecole Hardman for 15 yards (tackle by Jatavis Brown),Ty Long,43.0,Mecole Hardman,15.0,Jatavis Brown,,,,,,,yards  yards (
JK Scott punts 49 yards touchback.,JK Scott,49.0,,,,,,,,,touchback,yards .
Michael Palardy punts 62 yards returned by Deonte Harris for 15 yards (tackle by Jermaine Carter and Colin Jones),Michael Palardy,62.0,Deonte Harris,15.0,Jermaine Carter and Colin Jones,,,,,,,yards  yards (
Cameron Johnston punts 34 yards fair catch by Golden Tate at NYG-14,Cameron Johnston,34.0,Golden Tate,,,,,,,NYG-14,,yards
Johnny Hekker punts 39 yards fair catch by Pharoh Cooper at ARI-16,Johnny Hekker,39.0,Pharoh Cooper,,,,,,,ARI-16,,yards
Bryan Anger punts 46 yards fair catch by Rashard Davis at TEN-17,Bryan Anger,46.0,Rashard Davis,,,,,,,TEN-17,,yards
Tress Way punts 52 yards returned by Tavon Austin for -1 yards (tackle by Darvin Kidsy),Tress Way,52.0,Tavon Austin,-1.0,Darvin Kidsy,,,,,,,yards  yards (
Matt Haack punts 38 yards downed by Mack Hollins,Matt Haack,38.0,,,,,Mack Hollins,,,,,yards
Colby Wadman punts 57 yards downed by Josh Watson,Colby Wadman,57.0,,,,,Josh Watson,,,,,yards
Chris Jones punts 18 yards downed by Darian Thompson,Chris Jones,18.0,,,,,Darian Thompson,,,,,yards
Corey Bojorquez punts 30 yards fair catch by Braxton Berrios at NYJ-17,Corey Bojorquez,30.0,Braxton Berrios,,,,,,,NYJ-17,,yards
Kevin Huber punts 56 yards returned by D'Ernest Johnson for 9 yards (tackle by Jordan Evans),Kevin Huber,56.0,D'Ernest Johnson,9.0,Jordan Evans,,,,,,,yards  yards (
Lac Edwards punts 35 yards out of bounds,Lac Edwards,35.0,,,,,,,,,out of bounds,yards
Brett Kern punts 42 yards fair catch by DeAndre Carter at HOU-9,Brett Kern,42.0,DeAndre Carter,,,,,,,HOU-9,,yards
Matt Haack punts 55 yards fair catch by Mohamed Sanu at NE-25,Matt Haack,55.0,Mohamed Sanu,,,,,,,NE-25,,yards
Michael Palardy punts 44 yards out of bounds,Michael Palardy,44.0,,,,,,,,,out of bounds,yards
Kevin Huber punts 51 yards fair catch by D'Ernest Johnson at CLE-29,Kevin Huber,51.0,D'Ernest Johnson,,,,,,,CLE-29,,yards
Jake Bailey punts 57 yards returned by Trevor Davis for 7 yards (tackle by Nate Ebner),Jake Bailey,57.0,Trevor Davis,7.0,Nate Ebner,,,,,,,yards  yards (
Jordan Berry punts 51 yards returned by De'Anthony Thomas for -4 yards (tackle by Justin Layne),Jordan Berry,51.0,De'Anthony Thomas,-4.0,Justin Layne,,,,,,,yards  yards (
Jamie Gillan punts 62 yards downed by Tavierre Thomas,Jamie Gillan,62.0,,,,,Tavierre Thomas,,,,,yards
Mitch Wishnowsky punts 51 yards returned by David Moore for 16 yards (tackle by Raheem Mostert),Mitch Wishnowsky,51.0,David Moore,16.0,Raheem Mostert,,,,,,,yards  yards (
Britton Colquitt punts 52 yards out of bounds,Britton Colquitt,52.0,,,,,,,,,out of bounds,yards
Riley Dixon punts 37 yards downed by Cody Core,Riley Dixon,37.0,,,,,Cody Core,,,,,yards
A.J. Cole punts 31 yards fair catch by Diontae Spencer at DEN-10,A.J. Cole,31.0,Diontae Spencer,,,,,,,DEN-10,,yards
Cameron Johnston punts 43 yards,Cameron Johnston,43.0,,,,,,,,,,yards
Colby Wadman punts 45 yards muffed catch by Hunter Renfrow recovered by Hunter Renfrow at OAK-37,Colby Wadman,45.0,,,,,,,,OAK-37,,yards muffed catch by Hunter Renfrow recovered by Hunter Renfrow
A.J. Cole punts 44 yards fair catch by Diontae Spencer at DEN-11,A.J. Cole,44.0,Diontae Spencer,,,,,,,DEN-11,,yards
Ty Long punts 47 yards returned by Mecole Hardman for no gain (tackle by Drue Tranquill),Ty Long,47.0,Mecole Hardman,0.0,Drue Tranquill,,,,,,,yards  (
Sam Koch punts 42 yards returned by Diontae Johnson for 13 yards (tackle by Brynden Trawick),Sam Koch,42.0,Diontae Johnson,13.0,Brynden Trawick,,,,,,,yards  yards (
Michael Palardy punts 41 yards out of bounds. Penalty on Janoris Jenkins: Offensive Holding,Michael Palardy,41.0,,,,Janoris Jenkins,,,,,out of bounds,yards .  Offensive Holding
Lac Edwards punts 43 yards fair catch by Isaiah McKenzie at BUF-12,Lac Edwards,43.0,Isaiah McKenzie,,,,,,,BUF-12,,yards
Jordan Berry punts 47 yards returned by De'Anthony Thomas for 6 yards (tackle by Robert Spillane),Jordan Berry,47.0,De'Anthony Thomas,6.0,Robert Spillane,,,,,,,yards  yards (
Rigoberto Sanchez punts 54 yards returned by Dede Westbrook for 5 yards (tackle by Zaire Franklin),Rigoberto Sanchez,54.0,Dede Westbrook,5.0,Zaire Franklin,,,,,,,yards  yards (
Sam Martin punts 37 yards downed by C.J. Moore,Sam Martin,37.0,,,,,C.J. Moore,,,,,yards
Jamie Gillan punts 45 yards returned by Alex Erickson for no gain (tackle by Charley Hughlett and Porter Gustin). Penalty on LaRoy Reynolds: Offensive Holding 10 yards,Jamie Gillan,45.0,Alex Erickson,0.0,Charley Hughlett and Porter Gustin,LaRoy Reynolds,,,,,,yards  (.  Offensive Holding 10 yards
Pat O'Donnell punts 54 yards returned by Olabisi Johnson for 8 yards (tackle by Ryan Nall),Pat O'Donnell,54.0,Olabisi Johnson,8.0,Ryan Nall,,,,,,,yards  yards (
Thomas Morstead punts 48 yards returned by Chris Hogan for -1 yards (tackle by J.T. Gray),Thomas Morstead,48.0,Chris Hogan,-1.0,J.T. Gray,,,,,,,yards  yards (
Penalty on MIA: Delay of Game 5 yards (no play),,,,,,MIA,,,,,,Delay of Game 5 yards (no play)
Matt Haack punts 33 yards fair catch by Mohamed Sanu at NE-10,Matt Haack,33.0,Mohamed Sanu,,,,,,,NE-10,,yards
Ryan Allen punts 26 yards fair catch by Jaydon Mickens at TB-12,Ryan Allen,26.0,Jaydon Mickens,,,,,,,TB-12,,yards
Johnny Hekker punts 36 yards fair catch by Pharoh Cooper at ARI-12,Johnny Hekker,36.0,Pharoh Cooper,,,,,,,ARI-12,,yards
Cameron Johnston punts 51 yards returned by Golden Tate for 8 yards (tackle by Duke Riley and T.J. Edwards),Cameron Johnston,51.0,Golden Tate,8.0,Duke Riley and T.J. Edwards,,,,,,,yards  yards (
Logan Cooke punts 59 yards returned by Nyheim Hines for 18 yards (tackle by Brandon Watson),Logan Cooke,59.0,Nyheim Hines,18.0,Brandon Watson,,,,,,,yards  yards (
A.J. Cole punts 49 yards returned by Diontae Spencer for 4 yards (tackle by Kyle Wilber),A.J. Cole,49.0,Diontae Spencer,4.0,Kyle Wilber,,,,,,,yards  yards (
Michael Palardy punts 47 yards touchback.. Penalty on DeAndrew White: Illegal Touch Kick 5 yards,Michael Palardy,47.0,,,,DeAndrew White,,,,,touchback,yards ..  Illegal Touch Kick 5 yards
Dustin Colquitt punts 63 yards downed by Byron Pringle,Dustin Colquitt,63.0,,,,,Byron Pringle,,,,,yards
Jake Bailey punts 35 yards out of bounds,Jake Bailey,35.0,,,,,,,,,out of bounds,yards
Rigoberto Sanchez punts 38 yards fair catch by Dede Westbrook at JAC-11,Rigoberto Sanchez,38.0,Dede Westbrook,,,,,,,JAC-11,,yards
Bryan Anger punts 48 yards returned by Rashard Davis for -1 yards (tackle by Keion Crossen),Bryan Anger,48.0,Rashard Davis,-1.0,Keion Crossen,,,,,,,yards  yards (
Penalty on L.J. Fort: Neutral Zone Infraction 5 yards (no play),,,,,,L.J. Fort,,,,,,Neutral Zone Infraction 5 yards (no play)
Jordan Berry punts 54 yards downed by Justin Layne,Jordan Berry,54.0,,,,,Justin Layne,,,,,yards
Brett Kern punts 58 yards returned by DeAndre Carter for 12 yards (tackle by LeShaun Sims and Daren Bates),Brett Kern,58.0,DeAndre Carter,12.0,LeShaun Sims and Daren Bates,,,,,,,yards  yards (
